SeccionCensal;FofM
2305004016;13,80 %
2814802023;14,16 %
2814802025;14,18 %
4508102009;14,41 %
4109505013;14,60 %
4624403025;14,65 %
4624403027;14,68 %
4109109066;14,69 %
1913002009;14,85 %
2812301037;14,92 %
2811301013;15,00 %
2809204040;15,00 %
5029709027;15,02 %
0601508013;15,05 %
2813401053;15,12 %
2809204043;15,14 %
4109107051;15,17 %
4109109063;15,19 %
4618601014;15,26 %
2817201006;15,29 %
4701001008;15,34 %
2909401016;15,35 %
4103805014;15,41 %
2812301038;15,45 %
2814802026;15,55 %
4106904003;15,61 %
4109301014;15,62 %
0401307048;15,63 %
0105903042;15,79 %
5029704071;15,81 %
2104107021;15,83 %
2812301040;15,90 %
5029704070;15,91 %
2805807016;15,91 %
2890301024;15,91 %
1802201008;15,91 %
2906708066;15,94 %
2804501024;15,98 %
2809204042;16,02 %
2814802022;16,03 %
2800601064;16,04 %
5029709028;16,05 %
4701001010;16,17 %
2806504034;16,17 %
2810601060;16,20 %
2806503043;16,25 %
2811302015;16,27 %
4103805026;16,29 %
0105903040;16,34 %
3190701008;16,35 %
2809601012;16,40 %
2806503042;16,41 %
2809204041;16,45 %
4516807020;16,48 %
2801501012;16,57 %
4516101011;16,60 %
0105902045;16,62 %
0200302024;16,64 %
4625016032;16,66 %
2909401017;16,70 %
2800504017;16,70 %
0401307045;16,71 %
0601508014;16,72 %
2801401013;16,73 %
3003001066;16,73 %
4103403006;16,79 %
1402110022;16,80 %
1102006044;16,82 %
4421603011;16,84 %
1801401004;16,87 %
3002701057;16,92 %
2800601062;16,93 %
0905905047;16,94 %
2807916124;16,94 %
2902502018;17,00 %
2814802021;17,03 %
2807918062;17,07 %
2812701046;17,08 %
0819404001;17,10 %
2806504035;17,13 %
0105904032;17,17 %
2608401005;17,19 %
0401306040;17,19 %
2813401050;17,20 %
1913003012;17,28 %
5029704068;17,28 %
5029704069;17,38 %
2807403023;17,41 %
1403802007;17,48 %
0810103026;17,56 %
5029704065;17,57 %
3302409018;17,63 %
2800704031;17,63 %
4109109065;17,64 %
2810601063;17,64 %
2816102013;17,69 %
3304406027;17,71 %
2800704033;17,71 %
2800704030;17,75 %
2807918060;17,75 %
0801910076;17,78 %
2800704035;17,80 %
0825201027;17,81 %
3302409019;17,81 %
2212503008;17,83 %
2608904032;17,86 %
4105803006;17,86 %
0105902046;17,89 %
1303401010;17,92 %
2807916116;17,93 %
2812701032;17,94 %
0812503006;17,95 %
4516807019;17,97 %
1100402020;17,98 %
1102007011;18,00 %
3003004019;18,02 %
0105903038;18,03 %
0312202008;18,03 %
2809601014;18,05 %
4619001045;18,08 %
4109107049;18,08 %
2807918061;18,09 %
5008901003;18,11 %
5029704067;18,11 %
4317101011;18,12 %
4109107048;18,12 %
2807918057;18,15 %
3106002006;18,16 %
0407902016;18,17 %
2906708065;18,17 %
1303401009;18,25 %
2807908139;18,29 %
5029704072;18,29 %
0827905019;18,33 %
4109109017;18,35 %
4718607022;18,35 %
4622004001;18,35 %
2807921031;18,39 %
5008901004;18,42 %
0105902043;18,42 %
4700701004;18,43 %
2807918055;18,44 %
2807918054;18,44 %
3727403020;18,45 %
4690301004;18,45 %
0604402004;18,51 %
1003701015;18,51 %
2800704034;18,53 %
2805807015;18,53 %
4516101010;18,54 %
4310901002;18,54 %
3003005044;18,59 %
2812701049;18,60 %
0200301010;18,61 %
2807918050;18,62 %
3907508020;18,65 %
0410201009;18,66 %
2807403021;18,67 %
4103901007;18,68 %
3190301006;18,69 %
4217302014;18,69 %
4700701003;18,71 %
3004301030;18,72 %
4110203006;18,73 %
0813601001;18,74 %
4108102009;18,75 %
3120105008;18,77 %
4105301006;18,80 %
0306502026;18,81 %
2809204039;18,81 %
1707902022;18,83 %
1102207003;18,83 %
3003001044;18,84 %
1904601016;18,85 %
4103801002;18,88 %
5029704063;18,88 %
0105902040;18,88 %
3000801018;18,90 %
2807918056;18,94 %
2809601010;18,94 %
2801301008;18,95 %
3004103002;18,96 %
3002201023;18,96 %
5029704060;18,98 %
3709201001;18,98 %
4516501008;19,00 %
4105901011;19,01 %
2906708068;19,03 %
0306502022;19,03 %
0820505007;19,03 %
3002701051;19,06 %
2408906018;19,06 %
1102007019;19,07 %
4805403001;19,07 %
1932601001;19,07 %
4105302004;19,07 %
2608904029;19,08 %
0601503004;19,08 %
0200307017;19,09 %
0401308008;19,13 %
2810601050;19,17 %
2411502017;19,17 %
1103002003;19,19 %
1505404019;19,20 %
3120107009;19,20 %
2807918065;19,20 %
2100503006;19,21 %
1806201008;19,22 %
5200103002;19,23 %
4310901001;19,24 %
2801501008;19,24 %
0301405024;19,24 %
2800704032;19,27 %
3603901002;19,28 %
2807918064;19,31 %
4101901004;19,31 %
0704004074;19,32 %
3003004020;19,32 %
2100202005;19,32 %
2212502006;19,34 %
4106003007;19,35 %
2807920121;19,37 %
0601503003;19,37 %
2801501006;19,38 %
2812301041;19,38 %
1204008008;19,38 %
3003004073;19,41 %
3001801007;19,41 %
4109110025;19,43 %
2902502017;19,44 %
0105902044;19,44 %
4516101009;19,47 %
2814802024;19,48 %
4619001012;19,48 %
4601301014;19,49 %
2807918051;19,50 %
3003004053;19,50 %
1402106047;19,50 %
0819406007;19,51 %
2811301006;19,51 %
4109107034;19,52 %
4217302011;19,53 %
3003004060;19,53 %
0501904012;19,53 %
1802202001;19,54 %
4600502001;19,55 %
4109502003;19,55 %
1204008009;19,55 %
0301903006;19,56 %
2807916119;19,58 %
4516807006;19,58 %
1507805023;19,58 %
1808703045;19,59 %
3002701052;19,60 %
3090101012;19,60 %
2805808016;19,60 %
1802201006;19,61 %
2616801001;19,61 %
2810601054;19,61 %
1208402001;19,61 %
4603103003;19,62 %
1102703015;19,62 %
1102804010;19,62 %
0801910094;19,62 %
3190201002;19,62 %
0301406034;19,62 %
3001901020;19,63 %
1102305004;19,64 %
1913002016;19,65 %
0810102001;19,65 %
2501201002;19,65 %
2990101037;19,68 %
0827902017;19,68 %
2807913216;19,69 %
2807902103;19,70 %
3102301004;19,71 %
0801910042;19,71 %
2908403007;19,72 %
4802008016;19,73 %
4103901002;19,74 %
1204004021;19,75 %
0608304008;19,75 %
0601102007;19,75 %
1400703004;19,75 %
4802005045;19,76 %
2810601058;19,76 %
4109110027;19,76 %
2800601066;19,77 %
5029708006;19,77 %
0407901003;19,77 %
4508102007;19,77 %
1303401011;19,78 %
2812301039;19,79 %
2906707091;19,80 %
0490201009;19,80 %
2908201024;19,80 %
2807918053;19,80 %
0704003055;19,81 %
4103805024;19,81 %
0490201039;19,81 %
0105902041;19,81 %
1402106019;19,82 %
0704004039;19,82 %
0406601010;19,83 %
2807908172;19,83 %
3001605012;19,83 %
5200107003;19,84 %
0812503005;19,84 %
2007104001;19,85 %
0306504019;19,85 %
3003001065;19,88 %
0810103004;19,88 %
1102006048;19,89 %
2909401012;19,89 %
1300503005;19,90 %
4890101002;19,90 %
2800701018;19,90 %
2807918063;19,92 %
0501905006;19,93 %
1103106007;19,93 %
1405604006;19,94 %
4101001001;19,95 %
0820501017;19,96 %
2810601064;19,96 %
3900802004;19,97 %
1102703013;19,97 %
2305004015;19,99 %
2813401046;20,00 %
0306501021;20,00 %
1103001006;20,01 %
0490201028;20,01 %
2903802009;20,01 %
1103303003;20,03 %
5029801003;20,03 %
0300908002;20,03 %
2906708028;20,05 %
1904601009;20,05 %
3120105007;20,05 %
1891101005;20,06 %
2512004014;20,08 %
0407901018;20,08 %
0306506009;20,09 %
3003004062;20,10 %
5018201002;20,10 %
4718611042;20,11 %
0490201003;20,11 %
2807403020;20,11 %
2808301003;20,11 %
0702604021;20,12 %
0304902005;20,12 %
3002901013;20,12 %
3003004004;20,14 %
0821702002;20,16 %
0704801003;20,17 %
2807916107;20,17 %
2807908161;20,17 %
0702604024;20,18 %
5029704061;20,18 %
0490201038;20,18 %
3503401002;20,19 %
3001608012;20,19 %
2814802019;20,19 %
2807908128;20,19 %
3302409017;20,20 %
0105902042;20,21 %
2813001001;20,21 %
4701001003;20,21 %
1101504007;20,21 %
0827902014;20,21 %
3002401019;20,21 %
4718604041;20,21 %
1890501010;20,22 %
0704801006;20,23 %
0601502005;20,25 %
4601704003;20,25 %
0704601002;20,27 %
1808703041;20,28 %
4600703001;20,28 %
2810601057;20,28 %
2004504004;20,28 %
0703104013;20,29 %
4109103007;20,29 %
0200307008;20,29 %
3802302012;20,30 %
2810601059;20,30 %
1607804026;20,30 %
0407902029;20,31 %
3002402029;20,31 %
0312203003;20,32 %
0820501018;20,32 %
4623001008;20,33 %
3003006005;20,33 %
4619401014;20,33 %
2801501011;20,34 %
1806201001;20,34 %
2814802001;20,34 %
2801501009;20,34 %
2810601062;20,35 %
2006906028;20,35 %
0306502024;20,36 %
0801901041;20,36 %
0704801007;20,37 %
3108601006;20,37 %
3004103001;20,38 %
0401307018;20,38 %
4109109014;20,38 %
1902401001;20,39 %
0200302009;20,40 %
1200903001;20,40 %
2810401008;20,40 %
1102804008;20,40 %
5029704064;20,40 %
0410201007;20,40 %
0490201050;20,41 %
2807910220;20,41 %
4510701003;20,41 %
4802901007;20,43 %
3003501009;20,43 %
3108601009;20,43 %
0816905009;20,43 %
0311902002;20,43 %
0100201003;20,43 %
0801901051;20,45 %
1714201002;20,45 %
0490201011;20,46 %
3500402020;20,46 %
5200106003;20,46 %
0306507010;20,48 %
1928601001;20,48 %
4516101001;20,48 %
2411502016;20,50 %
1305601005;20,51 %
4100502002;20,51 %
5008901006;20,51 %
2807908169;20,51 %
1806201005;20,51 %
0818703018;20,51 %
0406601004;20,52 %
1890501008;20,53 %
3002401016;20,54 %
3120107023;20,54 %
4317101001;20,55 %
2906801006;20,55 %
2990101042;20,56 %
3003004063;20,56 %
2810601049;20,56 %
2816102009;20,57 %
3304412013;20,57 %
0403502001;20,57 %
0921903014;20,58 %
2812301034;20,58 %
0821101007;20,58 %
4010101001;20,59 %
4007201001;20,60 %
3004103003;20,61 %
1100401025;20,62 %
0301406025;20,62 %
1308203004;20,62 %
3302405022;20,63 %
3001610036;20,63 %
3004301027;20,64 %
0702604014;20,65 %
4312307002;20,65 %
1100404021;20,65 %
0827902016;20,66 %
0310403001;20,66 %
4602903002;20,66 %
0406601009;20,66 %
2808601001;20,66 %
0822101009;20,67 %
4109109027;20,67 %
3003003046;20,67 %
3003701008;20,67 %
3002201018;20,68 %
0401306023;20,68 %
3801101006;20,68 %
4104502002;20,68 %
2807902098;20,68 %
2906710066;20,69 %
2812301036;20,69 %
3003501017;20,69 %
0827903005;20,69 %
4608302003;20,70 %
3501504002;20,70 %
2100503004;20,70 %
4625016031;20,70 %
4103804021;20,71 %
0105903041;20,72 %
2805804004;20,72 %
1927901001;20,73 %
1212601007;20,73 %
3003005002;20,73 %
0703602003;20,74 %
0401306024;20,74 %
3902801003;20,74 %
3001608004;20,74 %
0406601008;20,75 %
0312202001;20,75 %
2305501003;20,75 %
1402106050;20,76 %
4106402001;20,76 %
2807918052;20,76 %
2811601001;20,76 %
4619001046;20,76 %
3727404025;20,77 %
4520101001;20,77 %
4100403011;20,77 %
0105903039;20,78 %
1707902011;20,79 %
0830504005;20,79 %
1200903003;20,79 %
1102006035;20,79 %
4106804003;20,79 %
3001001006;20,80 %
1922001001;20,80 %
0702604005;20,80 %
2817201005;20,81 %
2308601011;20,81 %
2807405019;20,81 %
4317101007;20,81 %
4902102006;20,81 %
1103201017;20,81 %
1917101002;20,82 %
1904601015;20,82 %
2813401052;20,82 %
4602501001;20,83 %
2814801012;20,83 %
3304408010;20,83 %
2807918046;20,84 %
4619401012;20,84 %
0702604023;20,84 %
3300401061;20,84 %
1721501002;20,85 %
0105902039;20,86 %
0702604022;20,86 %
4100702002;20,86 %
1003704004;20,87 %
1308201003;20,87 %
0808902010;20,87 %
2804801001;20,87 %
3501605031;20,87 %
1213502016;20,87 %
4625019012;20,88 %
3604901004;20,88 %
0801901011;20,88 %
4007701001;20,88 %
4804601009;20,88 %
0801901010;20,88 %
4101601004;20,89 %
4718604040;20,89 %
1101403004;20,89 %
0827905029;20,89 %
3004301020;20,89 %
0490201047;20,89 %
4801308001;20,90 %
1103801013;20,90 %
0801907102;20,90 %
0312203011;20,91 %
3123204006;20,91 %
1102004003;20,91 %
3002501002;20,91 %
0818707007;20,92 %
3000701006;20,92 %
2104402003;20,92 %
0490201045;20,92 %
4107501006;20,93 %
3002701026;20,93 %
4519901001;20,93 %
0704003044;20,93 %
0406601005;20,94 %
3003901004;20,94 %
2807403014;20,94 %
4105901024;20,94 %
3501605009;20,95 %
0410102001;20,95 %
2906711012;20,95 %
0309002001;20,95 %
4516805025;20,96 %
0407902021;20,96 %
2807918058;20,96 %
1802202002;20,97 %
0704001007;20,97 %
1500501010;20,97 %
0801910043;20,97 %
2005501006;20,98 %
1913002008;20,98 %
3002401001;20,98 %
1403001006;20,99 %
3003701007;20,99 %
2806502013;20,99 %
1103205008;21,00 %
5200105004;21,00 %
0704802004;21,00 %
2306003007;21,00 %
0407901009;21,00 %
4619001036;21,01 %
0401307044;21,01 %
0301404022;21,02 %
2807403022;21,02 %
2807905012;21,02 %
0801906045;21,02 %
0808601003;21,02 %
2814901001;21,02 %
0704601001;21,02 %
0401306021;21,03 %
0301904001;21,03 %
4701001001;21,04 %
0702402001;21,04 %
2807917029;21,04 %
1891101006;21,04 %
1303404010;21,05 %
4314807002;21,05 %
2814804013;21,05 %
3002401030;21,05 %
1401701004;21,05 %
4620701003;21,06 %
3001801008;21,06 %
2807918059;21,06 %
0407902006;21,06 %
1303403005;21,07 %
4623803001;21,07 %
1403801004;21,07 %
4102102004;21,07 %
