0100101001;--;-
0100101002;--;-
0100201001;+;--
0100201002;+;--
0100201003;+;--
0100201004;+;--
0100201005;+;--
0100201006;+;--
0100201007;+;--
0100301001;=;=
0100401001;++;=
0100601001;--;-
0100801001;++;++
0100901001;++;=
0101001001;++;=
0101001002;++;=
0101101001;++;-
0101301001;++;=
0101401001;++;--
0101601001;++;+
0101701001;++;-
0101801001;++;+
0101901001;=;++
0102001001;++;--
0102101001;=;++
0102201001;=;=
0102301001;=;++
0102701001;++;-
0102801001;=;=
0103001001;++;-
0103101001;=;++
0103201001;=;++
0103301001;-;++
0103401001;=;++
0103601001;=;=
0103601002;=;=
0103601003;=;=
0103601004;=;=
0103601005;=;=
0103601006;=;=
0103601007;=;=
0103601008;=;=
0103601009;=;=
0103601010;=;=
0103601011;=;=
0103601012;=;=
0103601013;=;=
0103701001;++;=
0103901001;-;-
0104101001;=;++
0104201001;-;++
0104301001;-;-
0104301002;-;-
0104401001;++;-
0104601001;++;++
0104701001;++;+
0104901001;++;++
0105101001;++;-
0105101002;++;-
0105101003;++;-
0105201001;++;-
0105301001;++;++
0105401001;++;=
0105501001;++;--
0105601001;++;-
0105701001;++;-
0105801001;=;=
0105901001;=;++
0105901003;=;++
0105901004;=;++
0105901005;=;++
0105901007;=;++
0105901008;=;++
0105901009;=;++
0105901010;=;++
0105901012;=;++
0105901013;=;++
0105901014;=;++
0105901015;=;++
0105901016;=;++
0105901017;=;++
0105901018;=;++
0105901019;=;++
0105901020;=;++
0105901021;=;++
0105901022;=;++
0105901023;=;++
0105901024;=;++
0105901025;=;++
0105901026;=;++
0105901027;=;++
0105901029;=;++
0105901030;=;++
0105901031;=;++
0105901032;=;++
0105901033;=;++
0105901034;=;++
0105901035;=;++
0105901036;=;++
0105901037;=;++
0105901038;=;++
0105901039;=;++
0105902001;=;++
0105902002;=;++
0105902003;=;++
0105902004;=;++
0105902005;=;++
0105902006;=;++
0105902008;=;++
0105902009;=;++
0105902010;=;++
0105902011;=;++
0105902012;=;++
0105902013;=;++
0105902014;=;++
0105902015;=;++
0105902016;=;++
0105902017;=;++
0105902018;=;++
0105902019;=;++
0105902020;=;++
0105902021;=;++
0105902022;=;++
0105902023;=;++
0105902024;=;++
0105902025;=;++
0105902026;=;++
0105902027;=;++
0105902028;=;++
0105902029;=;++
0105902030;=;++
0105902031;=;++
0105902032;=;++
0105902033;=;++
0105902034;=;++
0105902035;=;++
0105902036;=;++
0105902037;=;++
0105902038;=;++
0105902039;=;++
0105902040;=;++
0105902041;=;++
0105902042;=;++
0105902043;=;++
0105902044;=;++
0105902045;=;++
0105902046;=;++
0105903001;=;++
0105903002;=;++
0105903003;=;++
0105903004;=;++
0105903005;=;++
0105903006;=;++
0105903008;=;++
0105903009;=;++
0105903010;=;++
0105903011;=;++
0105903012;=;++
0105903013;=;++
0105903014;=;++
0105903015;=;++
0105903016;=;++
0105903017;=;++
0105903018;=;++
0105903019;=;++
0105903020;=;++
0105903021;=;++
0105903022;=;++
0105903023;=;++
0105903025;=;++
0105903026;=;++
0105903027;=;++
0105903028;=;++
0105903029;=;++
0105903030;=;++
0105903031;=;++
0105903032;=;++
0105903034;=;++
0105903035;=;++
0105903036;=;++
0105903037;=;++
0105903038;=;++
0105903039;=;++
0105903040;=;++
0105903041;=;++
0105903042;=;++
0105904001;+;++
0105904002;+;++
0105904004;+;++
0105904005;+;++
0105904006;+;++
0105904007;+;++
0105904008;+;++
0105904009;+;++
0105904010;+;++
0105904012;+;++
0105904014;+;++
0105904015;+;++
0105904016;+;++
0105904017;+;++
0105904018;+;++
0105904019;+;++
0105904020;+;++
0105904021;+;++
0105904022;+;++
0105904023;+;++
0105904024;+;++
0105904025;+;++
0105904026;+;++
0105904027;+;++
0105904028;+;++
0105904029;+;++
0105904031;+;++
0105904032;+;++
0105905001;+;=
0105905002;+;=
0105905003;+;=
0105905004;+;=
0105905005;+;=
0105905006;+;=
0105905007;+;=
0105905008;+;=
0105905009;+;=
0105905010;+;=
0105905011;+;=
0105905012;+;=
0105905013;+;=
0105905014;+;=
0105905015;+;=
0105905016;+;=
0105905017;+;=
0105905018;+;=
0105905019;+;=
0105905020;+;=
0105905021;+;=
0105905022;+;=
0105905023;+;=
0105905025;+;=
0105905026;+;=
0105905027;+;=
0105905028;+;=
0105905029;+;=
0105905030;+;=
0105905031;+;=
0105905032;+;=
0105905033;+;=
0105905034;+;=
0105905035;+;=
0105905036;+;=
0105905037;+;=
0105905038;+;=
0105906001;--;--
0105906002;--;--
0105906003;--;--
0106001001;-;-
0106101001;--;=
0106201001;++;-
0106301001;++;-
0190101001;--;-
0190101002;--;-
0190201001;++;++
0200101001;++;=
0200201001;++;--
0200301001;=;=
0200301002;=;=
0200301003;=;=
0200301004;=;=
0200301005;=;=
0200301006;=;=
0200301007;=;=
0200301008;=;=
0200301009;=;=
0200301010;=;=
0200301011;=;=
0200301012;=;=
0200301013;=;=
0200301014;=;=
0200301015;=;=
0200301016;=;=
0200301017;=;=
0200302001;-;=
0200302002;-;=
0200302003;-;=
0200302004;-;=
0200302005;-;=
0200302006;-;=
0200302007;-;=
0200302008;-;=
0200302009;-;=
0200302010;-;=
0200302011;-;=
0200302012;-;=
0200302013;-;=
0200302014;-;=
0200302015;-;=
0200302016;-;=
0200302017;-;=
0200302018;-;=
0200302019;-;=
0200302020;-;=
0200302021;-;=
0200302022;-;=
0200302023;-;=
0200302024;-;=
0200303001;-;+
0200303002;-;+
0200303003;-;+
0200303004;-;+
0200303005;-;+
0200303006;-;+
0200303007;-;+
0200303008;-;+
0200303009;-;+
0200303010;-;+
0200303011;-;+
0200303012;-;+
0200303013;-;+
0200303014;-;+
0200304001;-;+
0200304002;-;+
0200304003;-;+
0200304004;-;+
0200304005;-;+
0200304006;-;+
0200304007;-;+
0200304008;-;+
0200304009;-;+
0200304010;-;+
0200304011;-;+
0200304012;-;+
0200304013;-;+
0200304014;-;+
0200305001;=;--
0200305002;=;--
0200305003;=;--
0200305004;=;--
0200305005;=;--
0200305006;=;--
0200305007;=;--
0200305008;=;--
0200305009;=;--
0200305010;=;--
0200305011;=;--
0200305012;=;--
0200305013;=;--
0200306001;=;--
0200306002;=;--
0200306003;=;--
0200306004;=;--
0200306005;=;--
0200306006;=;--
0200306007;=;--
0200306008;=;--
0200306009;=;--
0200306010;=;--
0200306011;=;--
0200306012;=;--
0200306013;=;--
0200306014;=;--
0200307001;=;++
0200307002;=;++
0200307003;=;++
0200307004;=;++
0200307005;=;++
0200307006;=;++
0200307007;=;++
0200307008;=;++
0200307009;=;++
0200307010;=;++
0200307011;=;++
0200307013;=;++
0200307014;=;++
0200307015;=;++
0200307016;=;++
0200307017;=;++
0200308001;-;=
0200308002;-;=
0200308003;-;=
0200308006;-;=
0200401001;++;-
0200501001;++;++
0200601001;=;--
0200701001;++;++
0200801001;=;++
0200801002;=;++
0200901001;=;++
